,precision,recall,f1-score,support
knife,0.8157181571815718,0.8551136363636364,0.8349514563106796,352.0
no_weapon,0.6017699115044248,0.8095238095238095,0.6903553299492385,84.0
pistol,0.8625954198473282,0.7337662337662337,0.7929824561403509,308.0
accuracy,0.7997311827956989,0.7997311827956989,0.7997311827956989,0.7997311827956989
macro avg,0.7600278295111083,0.7994678932178932,0.7727630808000896,744.0
weighted avg,0.8109688887194382,0.7997311827956989,0.801251823693983,744.0
